ประทับเวลา,คุณเป็นเพศอะไร,คุณกำลังศึกษาอยู่ในสถาบันเจ้าคุณทหารลาดกระบังหรือไม่,กำลังศึกษาอยู่ชั้นปีการศึกษาใดในมหาวิทยาลัย,คณะที่คุณกำลังศึกษาอยู่ในขณะนี้,GPA ขณะกำลังศึกษาอยู่ปัจจุบัน ( เกรดรวม ),สายการเรียนตอนมัธยมปลาย,คุณเข้ามหาลัยด้วยวิธีแบบใด,คุณจบการศึกษาระดับมัธยมปลายปี พ.ศ.ใด,GPA ในระดับชั้นมัธยมปลาย,คะแนน O-net วิชาภาษาไทย ระดับชั้นมัธยมศึกษาปีที่ 6,คะแนน O-net วิชาคณิตศาสตร์ ระดับชั้นมัธยมศึกษาปีที่ 6,คะแนน O-net วิชาวิทยาศาสตร์ ระดับชั้นมัธยมศึกษาปีที่ 6,คะแนน O-net วิชาสังคมศึกษา ระดับชั้นมัธยมศึกษาปีที่ 6,คะแนน O-net วิชาภาษาอังกฤษ ระดับชั้นมัธยมศึกษาปีที่ 6,ความสามารถที่คุณคิดว่าตัวเองมี(ตอบได้มากกว่า 1 ข้อ),วิชาที่ถนัดในการเรียนมัธยมปลายมีอะไรบ้าง(ตอบได้มากกว่า 1 ข้อ),คุณคิดว่าคุณถนัดทักษะแบบไหนบ้าง(ตอบได้มากกว่า 1 ข้อ),คุณคิดว่าทักษะไหนเป็นปัญหากับคุณบ้าง(ตอบได้มากกว่า 1 ข้อ),คุณสนใจทางด้านไหนบ้าง (ตอบได้มากกว่า 1 ข้อ),คุณเคยเข้าร่วมกิจกรรมของโรงเรียนเมื่อคุณยังศึกษาอยู่ในระดับมัธยมหรือไม่,คุณเคยแข่งขันทางวิชาการในช่วงมัธยมหรือไม่,คุณเคยลงเข้าร่วมกิจกรรมการเเข่งขันวิชาการ กลุ่มสาระใดบ้าง,ข้อเสนอแนะ
3/18/2021 13:48:05,หญิง,กำลังศึกษา,ปี 2,วิทยาศาสตร์,3.02,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",61,3.01 - 3.50,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,"มีความอดทน, หมั่นฝึกฝน",ด้านภาษา,"ฟัง, พูด","คิดวิเคราะห์, คิดคำนวณ",สุขภาพ,เคยเข้าร่วม,เคย,"กลุ่มสาระภาษาต่างประเทศ เช่น การร่วมเเข่งขันการเเสดงภาษาอังกฤษ ,speaking",
3/18/2021 16:30:43,ชาย,กำลังศึกษา,ปี 1,วิทยาศาสตร์,2.57,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",62,2.51 - 3.00,60.01 - 80.00,60.01 - 80.00,40.01 - 60.00,20.01 - 40.00,20.01 - 40.00,"ความรอบคอบ, มีความอดทน, การวิเคราะห์, ตรงต่อเวลา","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านคอมพิวเตอร์","ฟัง, คิดวิเคราะห์","พูด, เขียน","การศึกษา, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,เคย,"กลุ่มสาระวิทยาศาสตร์ เช่น การเเข่งขันฟิสิกส์ประยุกต์ ,",
3/18/2021 17:13:02,หญิง,กำลังศึกษา,ปี 3,เทคโนโลยีสารสนเทศ,2.51,ศิลป์-คำนวณ,"สอบเข้าระบบ tcas , admission , รับตรง",61,2.51 - 3.00,60.01 - 80.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,40.01 - 60.00,"ความรอบคอบ, มีความอดทน, การวิเคราะห์, ตรงต่อเวลา, บริหารเวลาได้ดี",ด้านภาษา,"ฟัง, อ่าน, เขียน, คิดวิเคราะห์, คิดคำนวณ",พูด,"การศึกษา, การบันเทิง, เทคโนโลยี",เคยเข้าร่วม,ไม่เคย,ไม่เคยเข้าร่วม,
3/18/2021 20:45:19,หญิง,กำลังศึกษา,ปี 3,วิทยาศาสตร์,2.26,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",61,3.01 - 3.50,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,60.01 - 80.00,60.01 - 80.00,"ความรอบคอบ, มีความอดทน, การวิเคราะห์, ความเป็นผู้นำ, ทำงานเป็นกลุ่มได้ดี, ติดตามข่าวสารใหม่ๆตลอด, ตรงต่อเวลา, บริหารเวลาได้ดี",ด้านภาษา,"ฟัง, คิดวิเคราะห์",คิดคำนวณ,สิ่งแวดล้อม,เคยเข้าร่วม,ไม่เคย,ไม่เคยเข้าร่วม,
3/22/2021 1:37:38,หญิง,กำลังศึกษา,ปี 3,เทคโนโลยีสารสนเทศ,2.51,ศิลป์-คำนวณ,"สอบเข้าระบบ tcas , admission , รับตรง",61,2.51 - 3.00,60.01 - 80.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,40.01 - 60.00,"ความรอบคอบ, มีความอดทน, การวิเคราะห์, ตรงต่อเวลา, บริหารเวลาได้ดี",ด้านภาษา,"ฟัง, อ่าน, เขียน, คิดวิเคราะห์, คิดคำนวณ",พูด,"การศึกษา, การบันเทิง, เทคโนโลยี",เคยเข้าร่วม,ไม่เคย,ไม่เคยเข้าร่วม,
3/24/2021 21:45:45,ชาย,กำลังศึกษา,ปี 4,วิทยาลัยการบริหารและจัดการ,3.54,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",59,2.51 - 3.00,60.01 - 80.00,20.01 - 40.00,20.01 - 40.00,40.01 - 60.00,40.01 - 60.00,"สร้างสรรค์สิ่งใหม่, การวิเคราะห์, ความมั่นใจในตัวเอง, ทำงานเป็นกลุ่มได้ดี, ติดตามข่าวสารใหม่ๆตลอด, บริหารเวลาได้ดี","ด้านศิลปะ, ด้านภาษา, ด้านงานฝีมือ","ฟัง, อ่าน","พูด, คิดวิเคราะห์","ศิลปะ, การบันเทิง",เคยเข้าร่วม,ไม่เคย,ไม่เคยเข้าร่วม,
3/24/2021 21:47:40,หญิง,กำลังศึกษา,ปี 2,วิศวกรรมศาสตร์,3.2,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",61,3.51 - 4.00,60.01 - 80.00,40.01 - 60.00,60.01 - 80.00,60.01 - 80.00,40.01 - 60.00,มีความอดทน,ด้านวิทยาศาสตร์,"ฟัง, อ่าน, คิดวิเคราะห์",คิดคำนวณ,"การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม",เคยเข้าร่วม,เคย,"กลุ่มสาระสังคมศึกษา เช่น โครงการมารยาทไทย , เศรษฐศาสตร์เพชรยอดมงกุฎ, กลุ่มสาระวิทยาศาสตร์ เช่น การเเข่งขันฟิสิกส์ประยุกต์ ,",-
3/24/2021 21:50:54,หญิง,กำลังศึกษา,ปี 3,วิทยาลัยการบริหารและจัดการ,3,ศิลป์-ภาษา ( เช่น จีน ฝรั่งเศส ญี่ปุ่น),"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,40.01 - 60.00,20.01 - 40.00,20.01 - 40.00,40.01 - 60.00,40.01 - 60.00,"สร้างสรรค์สิ่งใหม่, ความมั่นใจในตัวเอง, บริหารเวลาได้ดี","ด้านคณิตศาสตร์, ด้านภาษา","พูด, คิดคำนวณ",ฟัง,"การบันเทิง, เทคโนโลยี",เคยเข้าร่วม,ไม่เคย,ไม่เคยเข้าร่วม,
3/24/2021 21:52:55,หญิง,กำลังศึกษา,ปี 2,วิศวกรรมศาสตร์,3.08,โครงการห้องเรียนพิเศษ ( เช่น ห้องหลักสูตรอินเตอร์/ภาษาอังกฤษ วิทยาศาสตร์คอมพิวเตอร์),"สอบเข้าระบบ tcas , admission , รับตรง",61,3.51 - 4.00,80.01 - 100,80.01 - 100,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,"ชอบการทดลอง, สร้างสรรค์สิ่งใหม่, การวิเคราะห์, ความมั่นใจในตัวเอง, บริหารเวลาได้ดี","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์","ฟัง, อ่าน, คิดวิเคราะห์, คิดคำนวณ","พูด, เขียน","การศึกษา, การเมือง, การบันเทิง, เทคโนโลยี, สุขภาพ",เคยเข้าร่วม,เคย,"กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว, กลุ่มสาระภาษาต่างประเทศ เช่น การร่วมเเข่งขันการเเสดงภาษาอังกฤษ ,speaking",
3/24/2021 22:13:02,ชาย,กำลังศึกษา,ปี 3,เทคโนโลยีสารสนเทศ,2.85,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,40.01 - 60.00,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,"ความรอบคอบ, ชอบการทดลอง, ความมั่นใจในตัวเอง, หมั่นฝึกฝน, บริหารเวลาได้ดี","ด้านคณิตศาสตร์, ด้านศิลปะ, ด้านกีฬา","ฟัง, คิดวิเคราะห์, คิดคำนวณ","พูด, อ่าน","การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม",เคยเข้าร่วม,เคย,"กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว, กลุ่มสาระการงานอาชีพเเละเทคโนโลยี. เช่น การประกวดสร้างหน้าเว็บเเอพลิเคชั่น",
3/24/2021 22:21:49,หญิง,กำลังศึกษา,ปี 2,วิศวกรรมศาสตร์,2.79,วิทย์-คณิต,โครงการพิเศษ ( เช่น ช้างเผือก นักกีฬา),62,3.51 - 4.00,60.01 - 80.00,60.01 - 80.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,"มีความอดทน, ความเป็นผู้นำ, ความมั่นใจในตัวเอง, ทำงานเป็นกลุ่มได้ดี, ตรงต่อเวลา",ด้านคณิตศาสตร์,คิดคำนวณ,"พูด, เขียน, คิดวิเคราะห์",ไม่สนใจที่กล่าวมา,เคยเข้าร่วม,เคย,ไม่เคยเข้าร่วม,
3/24/2021 22:29:19,หญิง,กำลังศึกษา,ปี 2,วิศวกรรมศาสตร์,3.4,โครงการห้องเรียนพิเศษ ( เช่น ห้องหลักสูตรอินเตอร์/ภาษาอังกฤษ วิทยาศาสตร์คอมพิวเตอร์),โครงการพิเศษ ( เช่น ช้างเผือก นักกีฬา),62,3.51 - 4.00,60.01 - 80.00,80.01 - 100,60.01 - 80.00,60.01 - 80.00,80.01 - 100,"มีความอดทน, ความเป็นผู้นำ, ความมั่นใจในตัวเอง","ด้านกีฬา, ด้านคอมพิวเตอร์","ฟัง, พูด, อ่าน, เขียน, คิดวิเคราะห์, คิดคำนวณ","ฟัง, พูด, อ่าน, เขียน, คิดวิเคราะห์, คิดคำนวณ","การศึกษา, ศิลปะ, การเมือง, การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,เคย,"กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว, กลุ่มสาระสังคมศึกษา เช่น โครงการมารยาทไทย , เศรษฐศาสตร์เพชรยอดมงกุฎ",
3/24/2021 22:30:12,หญิง,กำลังศึกษา,ปี 3,วิทยาศาสตร์,3.4,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,"มีความอดทน, ชอบการทดลอง, ทำงานเป็นกลุ่มได้ดี, หมั่นฝึกฝน, ตรงต่อเวลา, บริหารเวลาได้ดี","ด้านวิทยาศาสตร์, ด้านภาษา","ฟัง, อ่าน","พูด, คิดวิเคราะห์, คิดคำนวณ","การศึกษา, เทคโนโลยี",ไม่เคยเข้าร่วม,เคย,"กลุ่มสาระสังคมศึกษา เช่น โครงการมารยาทไทย , เศรษฐศาสตร์เพชรยอดมงกุฎ",
3/24/2021 22:49:54,ชาย,กำลังศึกษา,บัณฑิต,วิศวกรรมศาสตร์,4,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",57,3.01 - 3.50,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,"การวิเคราะห์, ความเป็นผู้นำ, ทำงานเป็นกลุ่มได้ดี, ติดตามข่าวสารใหม่ๆตลอด","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์","ฟัง, อ่าน, คิดวิเคราะห์, คิดคำนวณ",พูด,เทคโนโลยี,เคยเข้าร่วม,เคย,"กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว, กลุ่มสาระสังคมศึกษา เช่น โครงการมารยาทไทย , เศรษฐศาสตร์เพชรยอดมงกุฎ, กลุ่มสาระวิทยาศาสตร์ เช่น การเเข่งขันฟิสิกส์ประยุกต์ ,",
3/24/2021 22:54:19,หญิง,กำลังศึกษา,ปี 2,วิศวกรรมศาสตร์,2.66,วิทย์-คณิต,โครงการพิเศษ ( เช่น ช้างเผือก นักกีฬา),62,3.51 - 4.00,60.01 - 80.00,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,"มีความอดทน, ชอบการทดลอง, ติดตามข่าวสารใหม่ๆตลอด, หมั่นฝึกฝน","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านภาษา, ด้านงานฝีมือ, ด้านสังคม","อ่าน, คิดวิเคราะห์","ฟัง, พูด, เขียน, คิดคำนวณ","การศึกษา, การบันเทิง, เทคโนโลยี, สุขภาพ",เคยเข้าร่วม,เคย,"กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว, กลุ่มสาระสังคมศึกษา เช่น โครงการมารยาทไทย , เศรษฐศาสตร์เพชรยอดมงกุฎ, กลุ่มสาระวิทยาศาสตร์ เช่น การเเข่งขันฟิสิกส์ประยุกต์ ,",
3/25/2021 0:19:30,ชาย,กำลังศึกษา,ปี 3,สถาปัตยกรรมศาสตร์,3.63,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.51 - 4.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,60.01 - 80.00,20.01 - 40.00,"ความรอบคอบ, มีความอดทน, การวิเคราะห์, ความเป็นผู้นำ, ความมั่นใจในตัวเอง, ทำงานเป็นกลุ่มได้ดี, หมั่นฝึกฝน","ด้านศิลปะ, ด้านงานฝีมือ","ฟัง, พูด, คิดวิเคราะห์","เขียน, คิดคำนวณ",ศิลปะ,เคยเข้าร่วม,เคย,"กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว, กลุ่มสาระวิทยาศาสตร์ เช่น การเเข่งขันฟิสิกส์ประยุกต์ ,, กลุ่มสาระศิลปะ เช่น เข้าร่วมชมรมนาฏศิลป์ , ประกวดวงดนตรี (folk songs)",
3/25/2021 0:39:08,หญิง,กำลังศึกษา,ปี 3,อุตสาหกรรมการเกษตร,3.03,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.51 - 4.00,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,40.01 - 60.00,60.01 - 80.00,"มีความอดทน, ทำงานเป็นกลุ่มได้ดี, ตรงต่อเวลา","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านภาษา","ฟัง, อ่าน, เขียน, คิดวิเคราะห์","พูด, คิดคำนวณ","ศิลปะ, การบันเทิง",เคยเข้าร่วม,เคย,"กลุ่มสาระสังคมศึกษา เช่น โครงการมารยาทไทย , เศรษฐศาสตร์เพชรยอดมงกุฎ, กลุ่มสาระวิทยาศาสตร์ เช่น การเเข่งขันฟิสิกส์ประยุกต์ ,",
3/25/2021 2:20:40,หญิง,กำลังศึกษา,ปี 2,เทคโนโลยีสารสนเทศ,2.7,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",62,3.01 - 3.50,40.01 - 60.00,60.01 - 80.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,"มีความอดทน, สร้างสรรค์สิ่งใหม่, ทำงานเป็นกลุ่มได้ดี, ติดตามข่าวสารใหม่ๆตลอด",ด้านคณิตศาสตร์,"ฟัง, คิดคำนวณ","พูด, คิดวิเคราะห์","การเมือง, การบันเทิง, เทคโนโลยี",เคยเข้าร่วม,เคย,กลุ่มสาระการงานอาชีพเเละเทคโนโลยี. เช่น การประกวดสร้างหน้าเว็บเเอพลิเคชั่น,
3/25/2021 3:26:53,หญิง,กำลังศึกษา,ปี 2,วิทยาลัยการบริหารและจัดการ,3,ศิลป์-คำนวณ,"สอบเข้าระบบ tcas , admission , รับตรง",61,3.01 - 3.50,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,40.01 - 60.00,60.01 - 80.00,"มีความอดทน, ชอบการทดลอง, การวิเคราะห์, ความเป็นผู้นำ, ความมั่นใจในตัวเอง, ทำงานเป็นกลุ่มได้ดี, ติดตามข่าวสารใหม่ๆตลอด","ด้านภาษา, ด้านคอมพิวเตอร์","ฟัง, คิดวิเคราะห์","พูด, อ่าน, คิดคำนวณ","การเมือง, การบันเทิง, เทคโนโลยี",เคยเข้าร่วม,เคย,"กลุ่มสาระภาษาต่างประเทศ เช่น การร่วมเเข่งขันการเเสดงภาษาอังกฤษ ,speaking",
3/25/2021 8:18:06,หญิง,กำลังศึกษา,ปี 3,วิทยาศาสตร์,2.8,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.51 - 4.00,60.01 - 80.00,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,"มีความอดทน, สร้างสรรค์สิ่งใหม่, ความเป็นผู้นำ, ตรงต่อเวลา","ด้านคณิตศาสตร์, ด้านศิลปะ, ด้านภาษา","ฟัง, พูด, อ่าน, เขียน, คิดวิเคราะห์",คิดคำนวณ,"ศิลปะ, เทคโนโลยี",เคยเข้าร่วม,เคย,"กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว, กลุ่มสาระภาษาต่างประเทศ เช่น การร่วมเเข่งขันการเเสดงภาษาอังกฤษ ,speaking",
3/25/2021 8:22:43,ชาย,กำลังศึกษา,ปี 1,วิทยาศาสตร์,2.44,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",62,2.51 - 3.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,"มีความอดทน, ชอบการทดลอง, การวิเคราะห์, ความมั่นใจในตัวเอง, ติดตามข่าวสารใหม่ๆตลอด","ด้านวิทยาศาสตร์, ด้านสังคม","ฟัง, พูด, คิดวิเคราะห์","อ่าน, เขียน, คิดคำนวณ","ศิลปะ, การบันเทิง, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,เคย,"กลุ่มสาระวิทยาศาสตร์ เช่น การเเข่งขันฟิสิกส์ประยุกต์ ,",
3/25/2021 10:00:48,ชาย,จบการศึกษาแล้ว,บัณฑิต,วิทยาศาสตร์,3.58,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",58,3.51 - 4.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,"มีความอดทน, การวิเคราะห์, ความมั่นใจในตัวเอง, ทำงานเป็นกลุ่มได้ดี, หมั่นฝึกฝน","ด้านคณิตศาสตร์, ด้านงานฝีมือ","ฟัง, เขียน, คิดวิเคราะห์",พูด,"การศึกษา, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,เคย,กลุ่มสาระการงานอาชีพเเละเทคโนโลยี. เช่น การประกวดสร้างหน้าเว็บเเอพลิเคชั่น,
3/25/2021 11:42:33,หญิง,กำลังศึกษา,ปี 2,วิทยาลัยการบริหารและจัดการ,2.94,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",61,2.51 - 3.00,60.01 - 80.00,40.01 - 60.00,20.01 - 40.00,20.01 - 40.00,20.01 - 40.00,"มีความอดทน, ความเป็นผู้นำ","ด้านคณิตศาสตร์, ด้านภาษา",พูด,คิดวิเคราะห์,"การบันเทิง, เทคโนโลยี, สุขภาพ",เคยเข้าร่วม,ไม่เคย,กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว,-
3/25/2021 12:18:37,ชาย,จบการศึกษาแล้ว,บัณฑิต,วิทยาศาสตร์,2.98,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",58,3.51 - 4.00,40.01 - 60.00,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,"มีความอดทน, ชอบการทดลอง, ความเป็นผู้นำ, ตรงต่อเวลา, บริหารเวลาได้ดี","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านกีฬา","ฟัง, พูด, เขียน, คิดคำนวณ",อ่าน,"การศึกษา, เทคโนโลยี, สุขภาพ",เคยเข้าร่วม,เคย,กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว,
4/9/2021 18:29:15,หญิง,กำลังศึกษา,ปี 3,วิทยาศาสตร์,3.2,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.51 - 4.00,60.01 - 80.00,60.01 - 80.00,80.01 - 100,80.01 - 100,60.01 - 80.00,"ความรอบคอบ, มีความอดทน, ชอบการทดลอง, การวิเคราะห์, ความเป็นผู้นำ, ความมั่นใจในตัวเอง, ทำงานเป็นกลุ่มได้ดี","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านศิลปะ, ด้านภาษา, ด้านกีฬา, ด้านงานฝีมือ, ด้านสังคม, ด้านคอมพิวเตอร์","ฟัง, พูด, อ่าน, เขียน, คิดวิเคราะห์, คิดคำนวณ","ฟัง, พูด, อ่าน, เขียน, คิดวิเคราะห์, คิดคำนวณ","การศึกษา, ศิลปะ, การเมือง, การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,เคย,"กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว, กลุ่มสาระวิทยาศาสตร์ เช่น การเเข่งขันฟิสิกส์ประยุกต์ ,, กลุ่มสาระศิลปะ เช่น เข้าร่วมชมรมนาฏศิลป์ , ประกวดวงดนตรี (folk songs)",
4/9/2021 19:15:32,หญิง,ไม่ได้ศึกษาในสถาบันดังกล่าว,ปี 3,ศิลปศาสตร์,3.5,ศิลป์-ภาษา ( เช่น จีน ฝรั่งเศส ญี่ปุ่น),"สอบเข้าระบบ tcas , admission , รับตรง",60,2.51 - 3.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,20.01 - 40.00,60.01 - 80.00,"ชอบการทดลอง, สร้างสรรค์สิ่งใหม่, การวิเคราะห์, ติดตามข่าวสารใหม่ๆตลอด","ด้านวิทยาศาสตร์, ด้านศิลปะ, ด้านภาษา","อ่าน, เขียน, คิดวิเคราะห์","ฟัง, คิดคำนวณ","ศิลปะ, การบันเทิง, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,ไม่เคย,"กลุ่มสาระภาษาต่างประเทศ เช่น การร่วมเเข่งขันการเเสดงภาษาอังกฤษ ,speaking, กลุ่มสาระศิลปะ เช่น เข้าร่วมชมรมนาฏศิลป์ , ประกวดวงดนตรี (folk songs)",
4/14/2021 19:14:47,หญิง,กำลังศึกษา,ปี 2,เทคโนโลยีการเกษตร,3,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",62,3.01 - 3.50,20.01 - 40.00,20.01 - 40.00,20.01 - 40.00,20.01 - 40.00,20.01 - 40.00,"ความรอบคอบ, มีความอดทน, ตรงต่อเวลา",ด้านกีฬา,ฟัง,"อ่าน, คิดวิเคราะห์, คิดคำนวณ","การบันเทิง, สุขภาพ",เคยเข้าร่วม,เคย,ไม่เคยเข้าร่วม,
4/14/2021 20:05:26,หญิง,กำลังศึกษา,ปี 2,วิศวกรรมศาสตร์,3.03,วิทย์-คณิต,โครงการพิเศษ ( เช่น ช้างเผือก นักกีฬา),61,3.51 - 4.00,60.01 - 80.00,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,60.01 - 80.00,"มีความอดทน, ชอบการทดลอง, ทำงานเป็นกลุ่มได้ดี, ตรงต่อเวลา, บริหารเวลาได้ดี","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านภาษา, ด้านคอมพิวเตอร์","ฟัง, อ่าน, คิดวิเคราะห์, คิดคำนวณ",พูด,"การศึกษา, ศิลปะ, การเมือง, การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,เคย,"กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว, กลุ่มสาระภาษาต่างประเทศ เช่น การร่วมเเข่งขันการเเสดงภาษาอังกฤษ ,speaking, กลุ่มสาระสังคมศึกษา เช่น โครงการมารยาทไทย , เศรษฐศาสตร์เพชรยอดมงกุฎ, กลุ่มสาระวิทยาศาสตร์ เช่น การเเข่งขันฟิสิกส์ประยุกต์ ,, กลุ่มสาระการงานอาชีพเเละเทคโนโลยี. เช่น การประกวดสร้างหน้าเว็บเเอพลิเคชั่น",
4/14/2021 22:17:12,หญิง,กำลังศึกษา,ปี 2,ครุศาสตร์อุตสาหกรรม,2.94,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",61,2.51 - 3.00,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,20.01 - 40.00,"ความรอบคอบ, มีความอดทน, ชอบการทดลอง, บริหารเวลาได้ดี","ด้านคณิตศาสตร์, ด้านศิลปะ, ด้านภาษา, ด้านกีฬา","ฟัง, อ่าน, เขียน, คิดคำนวณ","พูด, คิดวิเคราะห์","การศึกษา, ศิลปะ, การเมือง, การบันเทิง, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,ไม่เคย,ไม่เคยเข้าร่วม,
4/14/2021 23:06:12,ชาย,กำลังศึกษา,ปี 1,วิทยาศาสตร์,2.78,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",63,3.51 - 4.00,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,ติดตามข่าวสารใหม่ๆตลอด,ด้านคณิตศาสตร์,พูด,คิดวิเคราะห์,"เทคโนโลยี, สิ่งแวดล้อม",เคยเข้าร่วม,ไม่เคย,กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว,
4/15/2021 0:56:13,หญิง,กำลังศึกษา,ปี 4,วิทยาศาสตร์,3.32,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",59,3.01 - 3.50,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,40.01 - 60.00,"มีความอดทน, การวิเคราะห์, ทำงานเป็นกลุ่มได้ดี",ด้านคณิตศาสตร์,"ฟัง, คิดวิเคราะห์",พูด,"การศึกษา, เทคโนโลยี",เคยเข้าร่วม,เคย,กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว,
